IDPLAYER,PLAYERNAME,BIRTHDATE,FIRSTNAME,LASTNAME,TEAM,LG,POS,IDFANGRAPHS,FANGRAPHSNAME,MLBID,MLBNAME,CBSID,CBSNAME,RETROID,BREFID,NFBCID,NFBCNAME,ESPNID,ESPNNAME,KFFLNAME,DAVENPORTID,BPID,YAHOOID,YAHOONAME,MSTRBLLNAME,BATS,THROWS,FANTPROSNAME,LASTCOMMAFIRST,ROTOWIREID,FANDUELNAME,FANDUELID,DRAFTKINGSNAME,OTTONEUID,HQID,RAZZBALLNAME,FANTRAXID,FANTRAXNAME,ROTOWIRENAME,ALLPOS,NFBCLASTFIRST,NAME_TEAM,NAME_TEAM1,NAME_TEAM2,NAME_TEAM3,NAME_TEAM4,NAME_TEAM5,NAME_TEAM6
candeje01,JEIMER CANDELARIO,11/24/1993,Jeimer,Candelario,DET,AL,3B,13621,JEIMER CANDELARIO,600869.0,JEIMER CANDELARIO,2051255.0,JEIMER CANDELARIO,candj002,candeje01,10328.0,JEIMER CANDELARIO,32531.0,JEIMER CANDELARIO,,,69338.0,10328.0,JEIMER CANDELARIO,"Candelario, Jeimer",B,R,Jeimer Candelario,"Candelario, Jeimer",12821.0,,,,23582.0,5306.0,Jeimer Candelario,027fx,"Candelario, Jeimer","Candelario, Jeimer",3B,"Candelario, Jeimer",JEIMER CANDELARIO DET,JEIMER CANDELARIO DET,JEIMER CANDELARIO DET,JEIMER CANDELARIO DET,JEIMER CANDELARIO DET,JEIMER CANDELARIO DET,JEIMER CANDELARIO DET
canhama01,MARK CANHA,2/15/1989,Mark,Canha,OAK,AL,OF,11445,MARK CANHA,592192.0,MARK CANHA,1960772.0,MARK CANHA,canhm001,canhama01,9898.0,MARK CANHA,31670.0,MARK CANHA,,CANHA19890215A,66950.0,9898.0,MARK CANHA,"Canha, Mark",R,R,Mark Canha,"Canha, Mark",11562.0,Mark Canha,21666.0,Mark Canha,14852.0,4866.0,Mark Canha,025eo,"Canha, Mark",Mark Canha,OF,"Canha, Mark",MARK CANHA OAK,MARK CANHA OAK,MARK CANHA OAK,MARK CANHA OAK,MARK CANHA OAK,MARK CANHA OAK,MARK CANHA OAK
canoro01,ROBINSON CANO,10/22/1982,Robinson,Cano,SEA,NL,2B,3269,ROBINSON CANO,429664.0,ROBINSON CANO,532997.0,ROBINSON CANO,canor001,canoro01,7497.0,ROBINSON CANO,6204.0,ROBINSON CANO,Robinson Cano,CANO19821022A,31789.0,7497.0,ROBINSON CANO,"Cano, Robinson",L,R,Robinson Cano,"Cano, Robinson",7522.0,Robinson Cano,5390.0,Robinson Cano,9215.0,1091.0,Robinson Cano,68,"Cano, Robinson","Cano, Robinson",2B,"Cano, Robinson",ROBINSON CANO NYM,ROBINSON CANO NYM,ROBINSON CANO NYM,ROBINSON CANO NYM,ROBINSON CANO NYM,ROBINSON CANO NYM,ROBINSON CANO NYM
cantujo01,JORGE CANTU,1/30/1982,Jorge,Cantu,[],,3B,2521,JORGE CANTU,408305.0,JORGE CANTU,288947.0,JORGE CANTU,cantj001,cantujo01,,JORGE CANTU,6033.0,JORGE CANTU,,CANTU19820130A,31645.0,,NAN,"Cantu, Jorge",R,R,Jorge Cantu,"Cantu, Jorge",,,,,982.0,,Jorge Cantu,,,,3B,"Cantu, Jorge",JORGE CANTU NAN,JORGE CANTU NAN,JORGE CANTU NAN,JORGE CANTU NAN,JORGE CANTU NAN,JORGE CANTU NAN,NAN NAN
canzlru01,RUSS CANZLER,4/11/1986,Russ,Canzler,PIT,,3B,8265,RUSS CANZLER,444453.0,RUSS CANZLER,1670991.0,RUSS CANZLER,canzr001,canzlru01,9079.0,RUSS CANZLER,30238.0,RUSS CANZLER,,CANZLER19860411A,45793.0,9079.0,RUSS CANZLER,"Canzler, Russ",R,R,Russ Canzler,"Canzler, Russ",11758.0,,,,18015.0,,Russ Canzler,,,Russ Canzler,3B,"Canzler, Russ",RUSS CANZLER NAN,RUSS CANZLER NAN,RUSS CANZLER NAN,RUSS CANZLER NAN,RUSS CANZLER NAN,RUSS CANZLER NAN,RUSS CANZLER NAN
cappsca01,CARTER CAPPS,8/7/1990,Carter,Capps,SDN,,P,12803,CARTER CAPPS,605169.0,CARTER CAPPS,1962637.0,CARTER CAPPS,cappc001,cappsca01,9250.0,CARTER CAPPS,32469.0,CARTER CAPPS,,CAPPS19900807A,70434.0,9250.0,CARTER CAPPS,"Capps, Carter",R,R,Carter Capps,"Capps, Carter",12244.0,Carter Capps,21793.0,Carter Capps,18191.0,4162.0,Carter Capps,02bsd,"Capps, Carter",Carter Capps,P,"Capps, Carter",CARTER CAPPS NAN,CARTER CAPPS NAN,CARTER CAPPS NAN,CARTER CAPPS NAN,CARTER CAPPS NAN,CARTER CAPPS NAN,CARTER CAPPS NAN
cappsma01,MATT CAPPS,9/3/1983,Matt,Capps,ATL,NL,P,4788,MATT CAPPS,448165.0,MATT CAPPS,566068.0,MATT CAPPS,cappm001,cappsma01,7679.0,MATT CAPPS,6450.0,MATT CAPPS,,CAPPS19830903A,45624.0,7679.0,MATT CAPPS,"Capps, Matt",R,R,Matt Capps,"Capps, Matt",,,,,8859.0,,Matt Capps,,,,P,"Capps, Matt",MATT CAPPS ARI,MATT CAPPS ARI,MATT CAPPS ARI,MATT CAPPS ARI,MATT CAPPS ARI,MATT CAPPS ARI,MATT CAPPS ARI
capuach01,CHRIS CAPUANO,8/19/1978,Chris,Capuano,MIL,,P,1701,CHRIS CAPUANO,425626.0,CHRIS CAPUANO,223612.0,CHRIS CAPUANO,capuc001,capuach01,7132.0,CHRIS CAPUANO,5469.0,CHRIS CAPUANO,,CAPUANO19780819A,16660.0,7132.0,CHRIS CAPUANO,"Capuano, Chris",L,L,Chris Capuano,"Capuano, Chris",7072.0,Chris Capuano,12268.0,Chris Capuano,8725.0,,Chris Capuano,,,Chris Capuano,P,"Capuano, Chris",CHRIS CAPUANO NAN,CHRIS CAPUANO NAN,CHRIS CAPUANO NAN,CHRIS CAPUANO NAN,CHRIS CAPUANO NAN,CHRIS CAPUANO NAN,CHRIS CAPUANO NAN
caratvi01,VICTOR CARATINI,8/17/1993,Victor,Caratini,CHN,NL,C,14968,VICTOR CARATINI,605170.0,VICTOR CARATINI,,NAN,,caratvi01,10748.0,VICTOR CARATINI,33229.0,VICTOR CARATINI,,,102064.0,10748.0,VICTOR CARATINI,"Caratini, Victor",B,R,Victor Caratini,"Caratini, Victor",13084.0,,,,19285.0,5508.0,Victor Caratini,,,Victor Caratini,C/1B,"Caratini, Victor",VICTOR CARATINI CHC,VICTOR CARATINI CHC,VICTOR CARATINI CHC,NAN CHC,VICTOR CARATINI CHC,VICTOR CARATINI CHC,VICTOR CARATINI CHC
cardead01,ADRIAN CARDENAS,10/10/1987,Adrian,Cardenas,[],,2B,9514,ADRIAN CARDENAS,502133.0,ADRIAN CARDENAS,1208646.0,ADRIAN CARDENAS,carda001,cardead01,8639.0,ADRIAN CARDENAS,30154.0,ADRIAN CARDENAS,,CARDENAS19871010A,50142.0,8639.0,ADRIAN CARDENAS,"Cardenas, Adrian",L,R,Adrian Cardenas,"Cardenas, Adrian",,,,,2592.0,,Adrian Cardenas,,,,2B,"Cardenas, Adrian",ADRIAN CARDENAS NAN,ADRIAN CARDENAS NAN,ADRIAN CARDENAS NAN,ADRIAN CARDENAS NAN,ADRIAN CARDENAS NAN,ADRIAN CARDENAS NAN,ADRIAN CARDENAS NAN
cardust01,STEPHEN CARDULLO,8/31/1987,Stephen,Cardullo,COL,,OF,11204,STEPHEN CARDULLO,506924.0,STEPHEN CARDULLO,2228081.0,STEPHEN CARDULLO,cards001,cardust01,10377.0,STEPHEN CARDULLO,35747.0,STEPHEN CARDULLO,,,65846.0,10377.0,STEPHEN CARDULLO,"Cardullo, Stephen",R,R,Stephen Cardullo,"Cardullo, Stephen",14529.0,Stephen Cardullo,73825.0,Stephen Cardullo,14621.0,5364.0,Stephen Cardullo,,,Stephen Cardullo,OF,"Cardullo, Stephen",STEPHEN CARDULLO NAN,STEPHEN CARDULLO NAN,STEPHEN CARDULLO NAN,STEPHEN CARDULLO NAN,STEPHEN CARDULLO NAN,STEPHEN CARDULLO NAN,STEPHEN CARDULLO NAN
carigan01,ANDREW CARIGNAN,7/23/1986,Andrew,Carignan,OAK,,P,2431,ANDREW CARIGNAN,446398.0,ANDREW CARIGNAN,1655625.0,ANDREW CARIGNAN,caria001,carigan01,9055.0,ANDREW CARIGNAN,30034.0,ANDREW CARIGNAN,,CARIGNAN19860723A,57666.0,9055.0,ANDREW CARIGNAN,"Carignan, Andrew",R,R,Andrew Carignan,"Carignan, Andrew",9994.0,,,,6980.0,,Andrew Carignan,,,Andrew Carignan,P,"Carignan, Andrew",ANDREW CARIGNAN NAN,ANDREW CARIGNAN NAN,ANDREW CARIGNAN NAN,ANDREW CARIGNAN NAN,ANDREW CARIGNAN NAN,ANDREW CARIGNAN NAN,ANDREW CARIGNAN NAN
carmofa01,ROBERTO HERNANDEZ,12/7/1983,Roberto,Hernandez,ATL,,P,3273,ROBERTO HERNANDEZ,433584.0,FAUSTO CARMONA,533051.0,FAUSTO CARMONA,hernr001,carmofa01,7603.0,FAUSTO CARMONA,6356.0,ROBERTO HERNANDEZ,,HERNANDEZ19641111A,1378.0,7603.0,ROBERTO HERNANDEZ,"Carmona, Fausto",R,R,Roberto Hernandez,"Hernandez, Roberto",7873.0,Roberto Hernandez,5768.0,Roberto Hernandez,3952.0,,Fausto Carmona,,,Roberto Hernandez,P,"Carmona, Fausto",ROBERTO HERNANDEZ NAN,ROBERTO HERNANDEZ NAN,FAUSTO CARMONA NAN,FAUSTO CARMONA NAN,FAUSTO CARMONA NAN,ROBERTO HERNANDEZ NAN,ROBERTO HERNANDEZ NAN
carpean01,ANDREW CARPENTER,5/18/1985,Andrew,Carpenter,[],,P,9533,ANDREW CARPENTER,502165.0,ANDREW CARPENTER,1638973.0,ANDREW J. CARPENTER,carpa001,carpean01,8335.0,DREW CARPENTER,29221.0,DREW CARPENTER,,CARPENTER19850518A,50164.0,8335.0,ANDREW CARPENTER,"Carpenter, Andrew",R,R,Andrew Carpenter,"Carpenter, Andrew",,,,,18008.0,,Andrew Carpenter,,,,P,"Carpenter, Drew",ANDREW CARPENTER NAN,ANDREW CARPENTER NAN,ANDREW CARPENTER NAN,ANDREW J. CARPENTER NAN,DREW CARPENTER NAN,DREW CARPENTER NAN,ANDREW CARPENTER NAN
carpech01,CHRIS CARPENTER,4/27/1975,Chris,Carpenter,[],,P,1292,CHRIS CARPENTER,112020.0,CHRIS CARPENTER,7495.0,CHRIS CARPENTER,carpc002,carpech01,5771.0,CHRIS CARPENTER,3610.0,CHRIS CARPENTER,,CARPENTER19750427A,975.0,5771.0,CHRIS CARPENTER,"Carpenter, Chris",R,R,Chris Carpenter,"Carpenter, Chris",,,,,7006.0,,Chris Carpenter,,,,P,"Carpenter, Chris",CHRIS CARPENTER NAN,CHRIS CARPENTER NAN,CHRIS CARPENTER NAN,CHRIS CARPENTER NAN,CHRIS CARPENTER NAN,CHRIS CARPENTER NAN,CHRIS CARPENTER NAN
carpech02,CHRIS CARPENTER,12/26/1985,Chris,Carpenter,[],,P,8556,CHRIS CARPENTER,452764.0,CHRIS CARPENTER,1797883.0,CHRIS CARPENTER,carpc002,carpech02,8970.0,CHRIS CARPENTER,3610.0,CHRIS CARPENTER,,CARPENTER19750427A,975.0,8970.0,CHRIS CARPENTER,"Carpenter, Chris",R,R,Chris Carpenter,"Carpenter, Chris",,,,,18009.0,,Chris Carpenter,,,,P,"Carpenter, Chris",CHRIS CARPENTER NAN,CHRIS CARPENTER NAN,CHRIS CARPENTER NAN,CHRIS CARPENTER NAN,CHRIS CARPENTER NAN,CHRIS CARPENTER NAN,CHRIS CARPENTER NAN
carpeda01,DAVID CARPENTER,7/15/1985,David,Carpenter,TBA,NL,P,3959,DAVID CARPENTER,502304.0,DAVID CARPENTER,1537180.0,DAVID CARPENTER,carpd001,carpeda01,8978.0,DAVID CARPENTER,29698.0,DAVID CARPENTER,,CARPENTER19850715A,50224.0,8978.0,DAVID CARPENTER,"Carpenter, David",R,R,David Carpenter,"Carpenter, David",11829.0,David Carpenter,13410.0,David Carpenter,4673.0,3848.0,David Carpenter,,,David Carpenter,P,"Carpenter, David",DAVID CARPENTER ARI,DAVID CARPENTER ARI,DAVID CARPENTER ARI,DAVID CARPENTER ARI,DAVID CARPENTER ARI,DAVID CARPENTER ARI,DAVID CARPENTER ARI
carpeda02,DAVID CARPENTER,9/1/1987,David,Carpenter,TBA,,P,9244,DAVID CARPENTER,518526.0,DAVID CARPENTER,1807505.0,DAVID CARPENTER,carpd001,carpeda02,9154.0,DAVE CARPENTER,31305.0,DAVID CARPENTER,,CARPENTER19850715A,50224.0,9154.0,DAVID CARPENTER,"Carpenter, David",R,R,David Carpenter,"Carpenter, David",11829.0,David Carpenter,13410.0,David Carpenter,8521.0,3848.0,David Carpenter,,,David Carpenter,P,"Carpenter, Dave",DAVID CARPENTER NAN,DAVID CARPENTER NAN,DAVID CARPENTER NAN,DAVID CARPENTER NAN,DAVE CARPENTER NAN,DAVID CARPENTER NAN,DAVID CARPENTER NAN
carpema01,MATT CARPENTER,11/26/1985,Matt,Carpenter,SLN,NL,1B,8090,MATT CARPENTER,572761.0,MATT CARPENTER,1794765.0,MATT CARPENTER,carpm002,carpema01,8953.0,MATT CARPENTER,31015.0,MATT CARPENTER,Matt Carpenter,CARPENTER19851126A,60187.0,8953.0,MATT CARPENTER,"Carpenter, Matt",L,R,Matt Carpenter,"Carpenter, Matt",12082.0,Matt Carpenter,13152.0,Matt Carpenter,4672.0,3792.0,Matt Carpenter,021at,"Carpenter, Matt","Carpenter, Matt",1B/3B,"Carpenter, Matt",MATT CARPENTER STL,MATT CARPENTER STL,MATT CARPENTER STL,MATT CARPENTER STL,MATT CARPENTER STL,MATT CARPENTER STL,MATT CARPENTER STL
carpery01,RYAN CARPENTER,8/22/1990,Ryan,Carpenter,DET,,P,sa455439,RYAN CARPENTER,543001.0,RYAN CARPENTER,,NAN,,carpery01,10987.0,RYAN CARPENTER,35098.0,NAN,,,70297.0,,NAN,"Carpenter, Ryan",L,L,Ryan Carpenter,"Carpenter, Ryan",12697.0,,,,27289.0,5851.0,Ryan Carpenter,,,Ryan Carpenter,P,"Carpenter, Ryan",RYAN CARPENTER NAN,RYAN CARPENTER NAN,RYAN CARPENTER NAN,NAN NAN,RYAN CARPENTER NAN,NAN NAN,NAN NAN
carpmi01,MIKE CARP,6/30/1986,Mike,Carp,TEX,,1B,7480,MIKE CARP,455077.0,MIKE CARP,1205578.0,MIKE CARP,carpm001,carpmi01,8512.0,MIKE CARP,29660.0,MIKE CARP,Mike Carp,CARP19860630A,45790.0,8512.0,MIKE CARP,"Carp, Mike",L,R,Mike Carp,"Carp, Mike",8597.0,,,,3479.0,,Mike Carp,,,Mike Carp,1B,"Carp, Mike",MIKE CARP NAN,MIKE CARP NAN,MIKE CARP NAN,MIKE CARP NAN,MIKE CARP NAN,MIKE CARP NAN,MIKE CARP NAN
carraca01,CARLOS CARRASCO,3/21/1987,Carlos,Carrasco,CLE,AL,P,6632,CARLOS CARRASCO,471911.0,CARLOS CARRASCO,1231629.0,CARLOS CARRASCO,carrc003,carraca01,8185.0,CARLOS CARRASCO,28968.0,CARLOS CARRASCO,,CARRASCO19870321A,47229.0,8185.0,CARLOS CARRASCO,"Carrasco, Carlos",R,R,Carlos Carrasco,"Carrasco, Carlos",9449.0,Carlos Carrasco,6266.0,Carlos Carrasco,1735.0,3148.0,Carlos Carrasco,01as6,"Carrasco, Carlos","Carrasco, Carlos",SP,"Carrasco, Carlos",CARLOS CARRASCO CLE,CARLOS CARRASCO CLE,CARLOS CARRASCO CLE,CARLOS CARRASCO CLE,CARLOS CARRASCO CLE,CARLOS CARRASCO CLE,CARLOS CARRASCO CLE
carradj01,D.J. CARRASCO,4/12/1977,D.J.,Carrasco,[],,P,1666,D.J. CARRASCO,425647.0,D.J. CARRASCO,390710.0,D.J. CARRASCO,carrd001,carradj01,7088.0,D.J. CARRASCO,5393.0,D.J. CARRASCO,,CARRASCO19770412A,33569.0,,NAN,"Carrasco, D.J.",R,R,D.J. Carrasco,"Carrasco, D.J.",,,,,1113.0,,D.J. Carrasco,,,,P,"Carrasco, D.J.",D.J. CARRASCO NAN,D.J. CARRASCO NAN,D.J. CARRASCO NAN,D.J. CARRASCO NAN,D.J. CARRASCO NAN,D.J. CARRASCO NAN,NAN NAN
carreez01,EZEQUIEL CARRERA,6/11/1987,Ezequiel,Carrera,TOR,,OF,9048,EZEQUIEL CARRERA,485567.0,EZEQUIEL CARRERA,1589117.0,EZEQUIEL CARRERA,carre001,carreez01,8673.0,EZEQUIEL CARRERA,29008.0,EZEQUIEL CARRERA,,CARRERA19870611A,45794.0,8673.0,EZEQUIEL CARRERA,"Carrera, Ezequiel",L,L,Ezequiel Carrera,"Carrera, Ezequiel",10842.0,Ezequiel Carrera,12849.0,Ezequiel Carrera,5404.0,3809.0,Ezequiel Carrera,01sur,"Carrera, Ezequiel","Carrera, Ezequiel",OF,"Carrera, Ezequiel",EZEQUIEL CARRERA NAN,EZEQUIEL CARRERA NAN,EZEQUIEL CARRERA NAN,EZEQUIEL CARRERA NAN,EZEQUIEL CARRERA NAN,EZEQUIEL CARRERA NAN,EZEQUIEL CARRERA NAN
carrejo01,JOEL CARRENO,3/7/1987,Joel,Carreno,TOR,,P,2746,JOEL CARRENO,468528.0,JOEL CARRENO,1784929.0,JOEL CARRENO,carrj002,carrejo01,9021.0,JOEL CARRENO,31515.0,JOEL CARRENO,,CARRENO19870307A,49938.0,9021.0,JOEL CARRENO,"Carreno, Joel",R,R,Joel Carreno,"Carreno, Joel",10184.0,,,,4976.0,,Joel Carreno,,,Joel Carreno,P,"Carreno, Joel",JOEL CARRENO NAN,JOEL CARRENO NAN,JOEL CARRENO NAN,JOEL CARRENO NAN,JOEL CARRENO NAN,JOEL CARRENO NAN,JOEL CARRENO NAN
carroja01,JAMEY CARROLL,2/18/1974,Jamey,Carroll,[],,SS,1591,JAMEY CARROLL,425206.0,JAMEY CARROLL,174666.0,JAMEY CARROLL,carrj001,carroja01,7024.0,JAMEY CARROLL,5349.0,JAMEY CARROLL,,CARROLL19740218A,391.0,7024.0,JAMEY CARROLL,"Carroll, Jamey",R,R,Jamey Carroll,"Carroll, Jamey",,,,,9463.0,,Jamey Carroll,,,,SS,"Carroll, Jamey",JAMEY CARROLL NAN,JAMEY CARROLL NAN,JAMEY CARROLL NAN,JAMEY CARROLL NAN,JAMEY CARROLL NAN,JAMEY CARROLL NAN,JAMEY CARROLL NAN
carsoro01,ROBERT CARSON,1/23/1989,Robert,Carson,ANA,,P,2570,ROBERT CARSON,518533.0,ROBERT CARSON,1915130.0,ROBERT CARSON,carsr001,carsoro01,9165.0,ROBERT CARSON,31672.0,ROBERT CARSON,,CARSON19890123A,57668.0,9165.0,ROBERT CARSON,"Carson, Robert",L,L,Robert Carson,"Carson, Robert",12104.0,,,,4639.0,,Robert Carson,,,Robert Carson,P,"Carson, Robert",ROBERT CARSON NAN,ROBERT CARSON NAN,ROBERT CARSON NAN,ROBERT CARSON NAN,ROBERT CARSON NAN,ROBERT CARSON NAN,ROBERT CARSON NAN
cartech02,CHRIS CARTER,12/18/1986,Chris,Carter,NYA,,1B,9911,CHRIS CARTER,474892.0,CHRIS CARTER,1102958.0,CHRIS CARTER,cartc002,cartech02,8640.0,CHRIS CARTER,29486.0,CHRIS CARTER,Chris Carter,CARTER19861218A,47236.0,8640.0,CHRIS CARTER,"Carter, Chris",R,R,Chris Carter,"Carter, Chris",9694.0,Chris Carter,11094.0,Chris Carter,2665.0,3378.0,Chris Carter,,,Chris Carter,1B,"Carter, Chris",CHRIS CARTER NAN,CHRIS CARTER NAN,CHRIS CARTER NAN,CHRIS CARTER NAN,CHRIS CARTER NAN,CHRIS CARTER NAN,CHRIS CARTER NAN
casalcu01,CURT CASALI,11/9/1988,Curt,Casali,TBA,NL,C,12510,CURT CASALI,592200.0,CURT CASALI,1935463.0,CURT CASALI,casac001,casalcu01,9766.0,CURT CASALI,32049.0,CURT CASALI,,CASALI19881109A,70378.0,9766.0,CURT CASALI,"Casali, Curt",R,R,Curt Casali,"Casali, Curt",13350.0,Curt Casali,17012.0,Curt Casali,18512.0,4688.0,Curt Casali,02bxm,"Casali, Curt",Curt Casali,C,"Casali, Curt",CURT CASALI CIN,CURT CASALI CIN,CURT CASALI CIN,CURT CASALI CIN,CURT CASALI CIN,CURT CASALI CIN,CURT CASALI CIN
cashnan01,ANDREW CASHNER,9/11/1986,Andrew,Cashner,BAL,AL,P,8782,ANDREW CASHNER,488768.0,ANDREW CASHNER,1661425.0,ANDREW CASHNER,casha001,cashnan01,8627.0,ANDREW CASHNER,30134.0,ANDREW CASHNER,,CASHNER19860911A,58136.0,8627.0,ANDREW CASHNER,"Cashner, Andrew",R,R,Andrew Cashner,"Cashner, Andrew",10468.0,Andrew Cashner,12269.0,Andrew Cashner,5268.0,3530.0,Andrew Cashner,01cx2,"Cashner, Andrew","Cashner, Andrew",SP,"Cashner, Andrew",ANDREW CASHNER BAL,ANDREW CASHNER BAL,ANDREW CASHNER BAL,ANDREW CASHNER BAL,ANDREW CASHNER BAL,ANDREW CASHNER BAL,ANDREW CASHNER BAL
casilal01,ALEXI CASILLA,7/20/1984,Alexi,Casilla,TBA,,2B,5248,ALEXI CASILLA,458210.0,ALEXI CASILLA,1103724.0,ALEXI CASILLA,casia001,casilal01,7855.0,ALEXI CASILLA,28575.0,ALEXI CASILLA,Alexi Casilla,CASILLA19840720A,45799.0,7855.0,ALEXI CASILLA,"Casilla, Alexi",B,R,Alexi Casilla,"Casilla, Alexi",8943.0,,,,3136.0,,Alexi Casilla,,,Alexi Casilla,2B,"Casilla, Alexi",ALEXI CASILLA NAN,ALEXI CASILLA NAN,ALEXI CASILLA NAN,ALEXI CASILLA NAN,ALEXI CASILLA NAN,ALEXI CASILLA NAN,ALEXI CASILLA NAN
casilja01,SANTIAGO CASILLA,6/25/1980,Santiago,Casilla,OAK,,P,2873,SANTIAGO CASILLA,433586.0,SANTIAGO CASILLA,515663.0,SANTIAGO CASILLA,garcj002,garcija01,7401.0,SANTIAGO CASILLA,6060.0,SANTIAGO CASILLA,,GARCIA19830307A,35863.0,7401.0,SANTIAGO CASILLA,"Casilla, Santiago",R,R,Santiago Casilla,"Casilla, Santiago",8412.0,Santiago Casilla,5321.0,Santiago Casilla,1033.0,2435.0,Santiago Casilla,000ck,"Casilla, Santiago","Casilla, Santiago",RP,"Casilla, Santiago",SANTIAGO CASILLA NAN,SANTIAGO CASILLA NAN,SANTIAGO CASILLA NAN,SANTIAGO CASILLA NAN,SANTIAGO CASILLA NAN,SANTIAGO CASILLA NAN,SANTIAGO CASILLA NAN
cassebo01,BOBBY CASSEVAH,9/11/1985,Bobby,Cassevah,[],,P,6950,BOBBY CASSEVAH,445001.0,BOBBY CASSEVAH,1727407.0,BOBBY CASSEVAH,cassb001,cassebo01,8705.0,BOBBY CASSEVAH,30806.0,BOBBY CASSEVAH,,CASSEVAH19850911A,45800.0,8705.0,BOBBY CASSEVAH,"Cassevah, Bobby",R,R,Bobby Cassevah,"Cassevah, Bobby",,,,,18006.0,,Bobby Cassevah,,,,P,"Cassevah, Bobby",BOBBY CASSEVAH NAN,BOBBY CASSEVAH NAN,BOBBY CASSEVAH NAN,BOBBY CASSEVAH NAN,BOBBY CASSEVAH NAN,BOBBY CASSEVAH NAN,BOBBY CASSEVAH NAN
casteal01,ALEX CASTELLANOS,8/4/1986,Alex,Castellanos,SDN,,OF,7223,ALEX CASTELLANOS,543008.0,ALEX CASTELLANOS,1810665.0,ALEX CASTELLANOS,casta003,casteal01,9203.0,ALEX CASTELLANOS,31372.0,ALEX CASTELLANOS,Alex Castellanos,CASTELLAN19860804A,58239.0,9203.0,ALEX CASTELLANOS,"Castellanos, Alex",R,R,Alex Castellanos,"Castellanos, Alex",12014.0,,,,4671.0,4115.0,Alex Castellanos,,,Alex Castellanos,OF,"Castellanos, Alex",ALEX CASTELLANOS NAN,ALEX CASTELLANOS NAN,ALEX CASTELLANOS NAN,ALEX CASTELLANOS NAN,ALEX CASTELLANOS NAN,ALEX CASTELLANOS NAN,ALEX CASTELLANOS NAN
casteni01,NICK CASTELLANOS,3/4/1992,Nick,Castellanos,DET,AL,3B,11737,NICHOLAS CASTELLANOS,592206.0,NICHOLAS CASTELLANOS,1765816.0,NICHOLAS CASTELLANOS,castn001,casteni01,9108.0,NICHOLAS CASTELLANOS,31187.0,NICHOLAS CASTELLANOS,Nick Castellanos,CASTELLAN19920304A,66955.0,9108.0,NICHOLAS CASTELLANOS,"Castellanos, Nicholas",R,R,Nicholas Castellanos,"Castellanos, Nicholas",11448.0,Nicholas Castellanos,13342.0,Nicholas Castellanos,14914.0,4245.0,Nicholas Castellanos,01uc9,"Castellanos, Nicholas","Castellanos, Nick",OF,"Castellanos, Nicholas",NICK CASTELLANOS DET,NICHOLAS CASTELLANOS DET,NICHOLAS CASTELLANOS DET,NICHOLAS CASTELLANOS DET,NICHOLAS CASTELLANOS DET,NICHOLAS CASTELLANOS DET,NICHOLAS CASTELLANOS DET
castidi01,DIEGO CASTILLO,1/18/1994,Diego,Castillo,TBA,AL,P,17496,DIEGO CASTILLO,650895.0,DIEGO CASTILLO,,NAN,,castidi01,11037.0,DIEGO CASTILLO,39103.0,NAN,,,104483.0,,NAN,"Castillo, Diego",R,R,Diego Castillo,"Castillo, Diego",15259.0,,,,20234.0,5758.0,Diego Castillo,,,Diego Castillo,SP/RP,"Castillo, Diego",DIEGO CASTILLO TBA,DIEGO CASTILLO TBA,DIEGO CASTILLO TBA,NAN TBA,DIEGO CASTILLO TBA,NAN TBA,NAN TBA
castijo03,JOSE CASTILLO,1/10/1996,Jose,Castillo,SDN,NL,P,17169,JOSE CASTILLO,620454.0,JOSE CASTILLO,2900487.0,JOSE CASTILLO,,castijo03,11032.0,JOSE CASTILLO,38706.0,JOSE CASTILLO,,,102119.0,,NAN,"Castillo, Jose",L,L,Jose Castillo,"Castillo, Jose",13702.0,,,,20044.0,5897.0,Jose Castillo,,,Jose Castillo,RP,"Castillo, Jose",JOSE CASTILLO SD,JOSE CASTILLO SD,JOSE CASTILLO SD,JOSE CASTILLO SD,JOSE CASTILLO SD,JOSE CASTILLO SD,NAN SD
castilu02,LUIS CASTILLO,12/12/1992,Luis,Castillo,CIN,NL,P,15689,LUIS CASTILLO,622491.0,LUIS CASTILLO,2223751.0,LUIS CASTILLO,castl003,castilu02,10514.0,LUIS CASTILLO,35124.0,LUIS CASTILLO,,,100945.0,10514.0,LUIS CASTILLO,"Castillo, Luis",R,R,Luis Castillo,"Castillo, Luis",14495.0,,,,23732.0,5489.0,Luis Castillo,03nuc,"Castillo, Luis","Castillo, Luis",SP,"Castillo, Luis",LUIS CASTILLO CIN,LUIS CASTILLO CIN,LUIS CASTILLO CIN,LUIS CASTILLO CIN,LUIS CASTILLO CIN,LUIS CASTILLO CIN,LUIS CASTILLO CIN
